#PMU,#S_atck,Type,Cost, time(ms)
3,1,O,2,1156
3,1,D,2,11
3,2,O,2,869
3,2,D,1,0
3,3,O,5,831
3,3,D,1,1
3,4,O,5,947
3,4,D,1,0
3,5,O,6,1078
3,5,D,1,0
3,6,O,8,1013
3,6,D,2,0
3,7,O,7,1846
3,7,D,1,0
3,8,O,9,2311
3,8,D,1,0
3,9,O,9,1818
3,9,D,1,0
3,10,O,11,1564
3,10,D,1,1
3,11,O,11,1220
3,11,D,1,0
3,12,O,12,1214
3,12,D,1,1
3,13,O,13,1664
3,13,D,1,0
7,1,O,2,580
7,1,D,2,1
7,2,O,3,833
7,2,D,1,1
7,3,O,3,972
7,3,D,1,0
7,4,O,6,934
7,4,D,1,0
7,5,O,6,1177
7,5,D,1,0
7,6,O,6,1565
7,6,D,1,0
7,7,O,8,1215
7,7,D,1,1
7,8,O,9,3346
7,8,D,1,0
7,9,O,9,3984
7,9,D,1,0
7,10,O,10,2700
7,10,D,1,0
7,11,O,11,2868
7,11,D,1,1
7,12,O,12,14353
7,12,D,1,0
7,13,O,13,4811
7,13,D,1,0
10,1,O,1,498
10,1,D,1,0
10,2,O,3,872
10,2,D,1,0
10,3,O,3,994
10,3,D,1,1
10,4,O,4,1036
10,4,D,1,1
10,5,O,5,966
10,5,D,1,0
10,6,O,6,1336
10,6,D,1,0
10,7,O,7,5685
10,7,D,1,0
10,8,O,8,3060
10,8,D,1,0
10,9,O,9,10786
10,9,D,1,1
10,10,O,10,4845
10,10,D,1,1
10,11,O,11,8701
10,11,D,1,0
10,12,O,13,32848
10,12,D,1,0
10,13,O,13,44608
10,13,D,1,1
